rank,aclj.org,advocate.com,alternet.org,americannews.com,americanthinker.com,billmoyers.com,bizpacreview.com,blackamericaweb.com,bluenationreview.com,breitbart.com,charismanews.com,commondreams.org,conservativepost.com,conservativetribune.com,dailycaller.com,dailykos.com,dailysignal.com,democracynow.org,ecowatch.com,forwardprogressives.com,freebeacon.com,globalgrind.com,gopthedailydose.com,grist.org,headlinepolitics.com,hotair.com,ifyouonlynews.com,ijr.com,infowars.com,investors.com,legalinsurrection.com,lgbtqnation.com,libertynews.com,lifenews.com,{lifesitenews.com},lifesitenews.com,lifezette.com,lovebscott.com,madamenoire.com,madworldnews.com,mediamatters.org,mic.com,motherjones.com,nationalreview.com,nation.foxnews.com,newrepublic.com,newsone.com,occupydemocrats.com,pamelageller.com,pjmedia.com,politicususa.com,radio.foxnews.com,redstate.com,reverbpress.com,rightwingwatch.org,{rushlimbaugh.com},rushlimbaugh.com,salon.com,slate.com,sonsoflibertymedia.com,takepart.com,talkingpointsmemo.com,tampabay.com,teaparty.org,theblaze.com,thegatewaypundit.com,thegrio.com,thenation.com,thenewcivilrightsmovement.com,thepoliticalinsider.com,theroot.com,thinkprogress.org,townhall.com,trofire.com,truthdig.com,truth-out.org,twitchy.com,washingtonexaminer.com,{weeklystandard.com},weeklystandard.com,westernjournalism.com,{wnd.com},wnd.com,youngcons.com,terms,tfidf
224,0,18,56,6,54,18,28,6,8,62,36,27,12,44,38,34,13,72,7,9,6,6,19,6,11,18,42,14,18,3,7,10,0,70,0,39,14,7,19,48,20,14,15,19,6,16,16,4,10,13,33,0,16,17,19,0,25,0,59,38,15,21,17,42,36,10,16,6,28,9,31,57,20,9,31,48,16,26,0,10,45,0,28,25,taken_away,0.0222724009671
225,5,19,29,3,31,9,33,1,2,40,2,33,4,16,38,40,73,15,21,4,26,0,10,10,7,21,31,9,12,1,10,6,0,40,0,14,17,0,1,1,9,16,25,31,7,15,5,0,5,32,54,5,40,13,17,0,13,0,49,20,4,57,7,40,20,5,3,4,24,14,5,47,51,17,15,17,22,126,0,33,28,0,25,24,senate_floor,0.0222724009671
226,2,35,92,2,80,28,28,6,15,50,17,98,6,20,56,66,9,31,33,4,31,9,3,14,4,32,13,5,12,6,6,16,0,29,0,33,21,3,5,13,14,29,24,56,8,30,24,16,8,15,51,1,24,28,12,0,1,2,86,36,19,34,43,70,22,7,7,26,34,12,30,64,36,10,48,66,9,81,0,28,33,0,31,9,public_service,0.0222257083026
227,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,advertisement_story_continues_below_one,0.0222140322926
228,0,20,73,4,97,16,19,1,0,36,29,58,8,61,35,26,3,13,19,18,7,8,10,14,8,24,27,6,17,18,4,12,1,23,0,26,22,1,17,48,15,32,11,46,7,37,3,4,13,16,13,2,36,29,3,0,8,8,110,35,14,18,17,55,13,7,3,12,7,20,28,75,33,11,31,45,6,48,0,18,38,0,35,8,could_easily,0.0221790156381
229,0,1,29,4,35,4,43,0,11,86,1,17,4,66,42,23,0,19,1,7,4,0,12,0,12,16,19,1,22,0,2,3,0,0,0,0,32,0,0,20,23,24,12,25,9,15,1,17,6,7,18,3,27,14,21,0,3,8,22,12,0,66,4,166,10,48,2,7,3,27,2,94,16,4,15,28,25,57,0,7,50,0,36,14,border_wall,0.0221790156381
230,1,19,27,3,71,19,30,1,6,83,3,21,3,20,47,59,89,32,0,14,13,0,6,2,5,23,23,13,6,0,11,6,0,21,0,19,11,0,0,4,27,4,7,31,5,7,0,7,1,9,60,1,27,15,8,0,46,1,26,19,1,42,5,62,10,12,2,0,11,9,3,30,30,10,14,20,4,88,0,13,37,0,57,7,republican_leadership,0.0221790156381
231,1,3,30,9,27,7,33,8,2,45,10,5,2,30,52,37,6,38,1,4,8,5,9,3,10,40,34,17,4,0,5,4,0,27,0,13,5,2,10,14,20,18,21,47,10,16,22,1,0,17,40,4,73,13,18,0,80,0,45,21,8,44,10,19,24,29,15,2,30,7,12,44,24,9,9,7,17,95,0,12,49,0,36,17,nikki_haley,0.0221323229736
232,0,13,72,5,45,32,25,0,10,41,24,95,4,64,34,38,6,21,5,10,8,3,6,11,15,12,48,10,15,9,8,3,0,12,0,8,30,3,9,26,24,19,14,41,6,24,21,16,0,13,37,3,122,32,2,0,2,19,66,33,7,20,2,67,29,10,21,30,7,14,24,42,23,31,89,59,15,45,0,21,48,0,23,23,election_season,0.0220622839769
233,19,48,80,1,38,17,31,3,1,78,64,34,5,12,51,52,26,54,33,3,32,3,13,23,1,16,16,9,3,20,5,20,0,100,0,54,11,2,7,14,122,13,31,9,2,9,16,3,26,3,16,0,10,20,54,0,0,0,42,50,11,24,110,51,15,11,11,5,31,6,31,54,15,8,25,57,5,46,0,5,17,0,52,18,board_member,0.0220389376446
234,6,26,119,2,66,38,25,3,3,55,33,95,4,22,30,34,14,31,32,7,46,5,7,31,11,20,18,20,14,46,12,10,0,18,0,18,27,4,20,9,31,23,41,37,8,29,20,4,10,17,21,6,24,15,4,0,15,0,87,26,83,19,45,81,9,11,5,22,11,6,10,114,41,25,51,118,5,50,0,20,16,0,31,21,nearly_half,0.0219222059833
235,2,12,49,6,32,10,26,13,0,59,77,46,8,28,52,33,19,25,25,1,42,13,15,12,6,8,14,20,16,18,5,8,0,32,0,29,12,6,14,35,16,17,22,18,0,7,13,3,13,9,13,3,11,13,1,0,10,2,71,39,27,17,40,49,52,7,10,8,18,13,10,55,15,7,14,38,10,51,0,16,32,0,26,16,30_days,0.0218755133188
236,0,6,2,2,0,4,1,0,0,4,4,5,1,865,3,1,1,0,3,3,0,0,7,2,9,0,2,3,2,0,0,1,0,2,0,2,0,2,5,8,0,5,0,2,0,1,0,0,0,0,2,0,1,3,2,0,1,0,5,0,2,0,2,3,0,0,0,1,1,4,1,3,0,1,1,5,0,2,0,0,1,0,1,4,help_spread,0.0217821279898
237,0,6,15,0,100,5,15,0,1,72,15,3,7,3,31,10,1,31,1,13,5,0,11,1,8,16,13,14,1,0,14,1,0,6,0,8,4,0,0,6,35,0,9,70,19,4,1,2,1,29,22,3,85,20,8,0,66,0,7,48,0,20,1,72,9,36,1,3,54,21,1,15,15,6,5,14,6,39,0,17,35,0,15,9,senator_cruz,0.0217587816576
238,0,24,35,7,36,7,35,0,3,78,7,38,8,51,50,22,4,31,12,29,39,0,7,2,10,17,21,4,13,0,16,2,0,11,0,25,20,0,1,3,24,14,14,33,18,18,4,1,1,14,14,6,32,12,11,0,22,0,84,12,0,42,2,16,9,24,2,6,5,33,8,36,28,45,24,23,9,91,0,19,60,0,31,33,iowa_caucus,0.0217587816576
239,2,3,56,4,97,26,18,1,0,55,29,18,10,14,34,23,9,3,2,9,8,0,6,3,3,6,27,8,30,13,1,6,0,20,0,7,14,1,1,10,8,10,11,50,5,32,3,2,1,10,54,3,14,29,23,0,15,2,70,140,3,10,7,26,15,9,1,12,4,7,7,19,23,9,19,23,14,19,0,15,14,0,132,19,thomas_jefferson,0.0216887426608
240,8,6,37,16,8,3,42,8,0,43,16,47,11,83,23,25,2,51,8,5,9,19,9,0,10,4,13,12,61,1,13,8,2,78,0,63,14,15,9,39,22,34,16,18,8,3,40,2,29,10,5,2,11,33,2,0,2,0,72,37,32,12,22,42,31,9,35,2,2,10,56,42,14,5,39,19,9,32,0,3,47,0,23,24,video_footage,0.0216653963286
241,5,12,30,3,36,6,31,1,0,44,12,31,17,24,53,25,10,13,2,1,27,6,7,4,4,12,5,16,14,1,4,2,0,1,0,4,1,1,0,21,8,17,5,17,11,5,28,4,22,22,20,2,17,9,1,0,5,6,8,46,11,9,9,82,10,8,4,6,6,26,3,26,25,11,16,26,3,195,0,16,25,0,21,23,federal_bureau,0.0215486646673
242,1,5,15,0,4,36,37,5,1,44,1,9,1,1,47,2,5,1,2,10,11,3,3,15,1,20,3,8,11,0,1,9,1,12,0,58,6,3,19,4,9,1,1,169,3,10,12,3,6,5,3,1,9,8,0,0,0,2,11,62,3,9,1,20,33,0,11,44,1,2,158,18,3,0,75,1,227,8,0,0,19,0,73,4,editors_note,0.0215019720028
243,6,6,40,4,197,6,13,0,0,57,25,10,9,29,48,11,4,2,2,0,10,0,9,0,3,3,20,7,6,1,3,11,0,1,0,20,21,0,0,21,30,9,6,58,2,13,3,9,17,28,13,0,12,11,55,0,25,0,25,56,1,8,1,55,10,4,0,4,10,9,2,15,15,3,4,11,2,11,0,11,10,0,87,6,western_civilization,0.0213618940093
244,1,14,26,5,33,20,18,0,24,35,2,56,3,20,30,110,63,24,6,10,19,0,7,12,11,37,34,3,3,0,6,17,0,48,0,20,5,0,1,3,114,5,20,30,9,20,10,23,2,26,256,7,26,31,63,0,2,0,66,18,1,107,9,77,30,11,4,2,31,13,4,88,49,11,12,23,18,133,0,31,34,0,16,9,senate_republicans,0.0213152013448
245,0,11,10,0,7,2,15,0,0,36,4,7,2,110,60,8,5,0,8,1,4,4,0,1,12,9,3,4,1,1,4,9,0,8,0,4,55,0,0,2,11,33,13,3,26,1,24,0,0,8,2,0,14,2,2,0,1,2,28,3,0,30,18,30,58,5,13,0,4,21,9,24,12,1,12,4,1,266,0,4,53,0,29,35,florida_sen_marco,0.0212918550126
246,0,14,63,0,23,10,23,1,0,61,39,34,2,27,48,21,9,4,33,2,25,4,3,12,10,41,16,5,9,0,0,3,0,11,0,15,36,1,4,5,20,0,12,46,2,18,11,2,3,18,21,1,21,18,1,0,2,2,68,9,32,28,28,87,14,7,3,13,11,9,8,38,32,11,12,28,2,110,0,45,69,0,25,17,36_percent,0.0212685086803
247,5,28,44,2,90,4,15,3,4,50,53,17,3,24,31,27,10,39,12,122,4,4,16,1,4,7,31,10,14,3,9,10,0,19,0,116,10,1,6,34,18,6,6,24,5,12,9,8,4,8,8,0,32,13,16,0,2,1,30,71,2,19,11,35,18,6,7,1,24,8,7,43,21,7,6,35,4,32,0,12,41,0,48,10,based_upon,0.0212451623481
248,9,2,6,0,21,31,11,0,3,34,14,8,2,4,17,21,36,45,0,0,14,0,0,2,0,5,8,17,11,0,1,0,0,325,0,146,4,1,0,0,22,8,15,18,4,0,7,1,0,4,14,1,17,10,3,0,7,0,14,15,1,7,2,1,17,2,0,0,6,3,1,28,9,4,4,2,74,21,0,11,16,0,7,10,cecile_richards,0.0211984696836
249,0,64,99,5,75,72,33,8,3,46,9,87,7,24,55,28,22,89,84,1,24,7,4,31,4,18,16,7,11,6,15,15,1,21,0,31,22,2,9,14,25,33,19,42,4,27,19,8,10,21,20,1,36,40,2,0,16,2,85,19,41,40,16,76,26,32,18,33,22,12,21,95,18,10,35,108,7,22,0,16,40,0,35,20,new_york_state,0.0211751233513
250,1,4,88,2,46,41,32,3,2,66,11,44,8,12,55,39,7,7,9,1,63,14,2,2,10,15,21,18,22,26,7,5,0,76,0,7,8,3,20,18,15,18,22,77,3,14,15,7,0,2,10,0,17,21,2,0,17,3,49,58,10,40,31,71,5,18,7,8,7,3,9,28,21,18,25,53,4,31,0,16,17,0,25,6,net_worth,0.0210817380223
251,0,0,3,3,17,0,185,0,0,42,1,2,5,68,18,1,2,0,0,0,46,0,7,0,3,3,5,11,9,0,14,0,0,2,0,1,23,1,0,8,9,5,0,4,2,0,2,0,11,8,9,0,2,2,0,0,1,0,0,9,0,5,0,38,21,69,1,0,2,4,0,4,4,0,1,0,1,19,0,4,86,0,140,11,fox_news_reported,0.0210583916901
252,2,0,18,0,24,1,38,0,3,121,1,6,2,20,72,8,0,7,2,0,86,0,5,0,3,16,1,3,16,0,6,0,0,3,0,0,14,0,0,4,14,0,3,17,5,5,0,0,15,6,2,0,8,2,1,0,24,0,5,10,6,11,4,129,6,2,2,2,0,7,0,0,28,3,10,4,6,94,0,21,19,0,55,13,clinton_global_initiative,0.0210350453578
253,1,18,58,0,19,11,9,1,2,66,33,41,3,31,47,31,14,20,38,5,33,0,3,29,16,41,13,8,5,0,2,4,0,9,0,12,34,0,10,0,21,0,31,53,5,25,12,0,2,21,29,0,25,5,3,0,0,3,78,19,53,28,19,83,16,8,4,8,9,8,8,41,25,11,24,38,2,115,0,44,45,0,29,15,37_percent,0.0210350453578
254,1,13,78,1,36,19,23,0,3,87,40,44,3,19,52,34,12,19,41,12,28,1,2,21,7,23,17,5,6,2,11,5,0,13,0,16,29,2,9,12,32,2,31,26,9,22,17,1,5,6,26,1,16,10,0,0,0,5,82,9,46,25,44,77,17,14,7,11,10,15,13,87,24,6,15,42,0,108,0,42,50,0,30,22,14_percent,0.0209883526933
255,2,10,43,6,17,3,25,1,1,52,44,22,16,72,62,17,6,9,25,19,21,5,5,32,6,19,12,11,33,29,6,8,1,15,0,17,22,2,20,37,12,32,18,27,9,19,8,7,9,9,14,1,12,16,4,0,1,2,57,66,11,16,16,62,19,3,4,3,5,9,2,119,17,5,24,33,3,40,0,4,31,0,20,32,could_potentially,0.0209650063611
256,0,1,7,14,64,1,37,1,0,81,2,2,12,42,40,11,29,6,0,2,14,0,19,1,8,18,8,16,16,0,2,4,0,2,0,2,25,0,0,35,18,8,4,19,11,5,1,0,3,9,12,3,17,3,7,0,13,0,14,27,0,37,14,81,31,18,1,2,2,14,3,12,17,5,3,9,8,54,0,12,29,0,34,20,country_illegally,0.0209650063611
257,0,34,24,4,5,2,68,31,0,203,9,0,18,16,107,10,1,1,4,0,15,123,6,1,19,10,9,37,0,5,5,16,0,6,0,10,10,42,50,8,14,51,5,11,3,8,67,3,0,25,8,0,5,14,1,0,0,1,104,7,23,21,6,72,34,14,31,0,17,8,69,26,9,3,8,1,29,27,0,5,44,0,18,21,hollywood_reporter,0.0208716210321
258,0,17,50,0,27,16,18,0,2,76,36,36,1,24,37,20,8,1,25,3,31,5,6,13,11,34,14,0,8,1,4,4,0,11,0,14,37,2,10,5,10,1,31,56,6,25,13,0,2,12,26,4,10,13,0,0,1,3,87,23,42,18,34,81,11,11,6,12,8,12,8,69,30,4,24,35,1,113,0,30,50,0,33,19,22_percent,0.0208716210321
259,0,22,67,6,58,21,25,14,4,47,44,20,10,33,36,24,12,33,12,11,14,11,4,22,10,36,14,14,17,15,5,5,0,17,0,23,19,8,87,44,29,29,31,40,4,42,8,4,0,12,27,5,23,12,9,0,41,7,185,28,27,16,40,41,15,6,7,9,9,9,23,50,22,15,20,21,18,54,0,24,25,0,19,17,much_time,0.0208249283676
260,4,11,5,15,21,4,58,0,0,48,7,14,10,39,55,8,27,29,1,1,41,2,6,2,0,7,5,12,19,0,12,1,0,4,0,5,11,2,1,8,11,4,4,11,9,0,9,0,7,45,28,1,7,9,1,0,5,0,5,17,1,29,6,53,39,9,6,0,13,10,7,13,40,7,3,4,19,92,0,12,61,0,20,25,white_house_press_secretary_josh_earnest,0.0208015820353
261,1,16,34,4,47,9,41,9,1,56,2,32,5,23,99,33,30,34,20,7,45,3,4,17,3,18,7,1,7,0,11,13,0,6,0,1,14,2,1,9,16,5,20,24,6,12,11,0,12,13,18,1,9,7,5,0,4,0,20,29,31,55,34,72,12,5,7,11,8,16,8,85,17,11,16,42,5,108,0,11,29,0,77,14,federal_officials,0.0208015820353
262,0,26,12,0,6,9,22,1,1,33,0,9,1,123,132,5,2,1,7,4,9,3,4,3,4,5,1,6,0,1,8,6,0,1,0,1,60,0,0,0,2,50,17,1,26,0,45,0,0,3,7,0,4,3,0,0,1,0,24,0,5,15,6,60,84,6,5,0,1,5,22,11,24,2,16,14,0,185,0,1,42,0,16,14,vermont_sen_bernie_sanders,0.0207782357031
263,2,8,101,5,66,39,25,12,2,39,8,124,5,41,40,25,5,133,9,5,22,4,5,6,5,7,14,20,24,8,5,3,0,3,0,9,17,1,3,10,14,22,26,31,8,43,14,12,4,8,16,5,14,18,12,0,12,0,61,38,10,26,20,55,24,10,7,26,9,20,17,29,19,9,90,156,12,133,0,22,32,0,60,11,vietnam_war,0.0207548893708
264,5,5,38,0,38,10,13,1,2,20,425,4,1,7,9,2,1,116,7,1,7,1,0,2,1,2,4,1,7,0,2,0,0,2,0,5,6,0,8,0,15,4,9,72,60,7,1,0,5,6,2,8,0,3,5,0,4,1,11,11,3,6,2,7,8,6,0,1,1,1,2,2,7,2,27,30,0,9,0,4,15,0,113,1,latest_book,0.0207548893708
265,0,13,28,7,74,3,51,6,2,23,16,8,7,43,44,18,0,2,0,8,0,12,10,2,8,5,24,7,28,0,4,6,0,6,0,12,8,7,47,184,14,30,2,38,8,12,18,5,1,10,17,0,14,13,5,0,16,0,34,33,7,7,6,23,14,6,30,1,6,17,37,15,17,12,8,19,13,9,0,5,17,0,32,74,skin_color,0.0206381577096
266,0,14,57,3,31,24,12,0,0,67,35,31,4,30,37,24,9,4,39,4,30,1,6,22,9,21,17,4,8,1,5,8,0,17,0,15,37,1,13,2,17,0,31,60,10,23,14,0,0,7,21,1,12,9,1,0,0,0,87,21,35,21,40,63,14,9,3,14,8,9,14,64,27,8,12,44,2,108,0,30,61,0,48,18,23_percent,0.0206148113773
267,0,12,62,7,37,17,43,4,12,59,13,32,10,58,39,78,0,34,12,109,10,1,14,1,8,7,71,8,14,0,5,6,0,3,0,3,18,2,5,25,29,19,22,33,5,14,2,27,3,10,137,4,61,47,16,0,18,3,65,16,2,26,3,68,26,20,4,9,36,28,16,29,22,24,22,27,15,76,0,11,28,0,24,34,like_donald_trump,0.0206148113773
268,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,advertisement_story_continues_below_however,0.0205405970682
269,1,7,44,7,65,19,18,1,4,35,17,36,6,18,34,33,19,10,1,13,25,4,7,10,4,28,30,12,11,1,14,2,0,7,0,7,9,1,3,19,22,6,15,39,7,29,12,7,4,16,30,1,36,21,17,0,17,5,42,32,3,28,11,66,10,9,10,10,9,26,11,31,33,8,14,36,17,83,0,37,29,0,25,28,second_term,0.0205214260483
270,1,15,17,4,64,5,32,3,2,59,9,36,24,28,29,3,8,54,1,3,68,3,8,2,12,11,8,19,24,1,5,11,0,4,0,8,10,0,1,21,29,8,7,21,5,3,5,5,34,23,4,4,9,11,1,0,3,1,32,21,6,10,11,77,17,20,4,8,6,7,6,25,13,2,26,52,17,51,0,21,27,0,45,15,us_embassy,0.0205214260483
271,3,37,75,2,49,20,22,7,0,32,48,59,2,25,40,21,10,62,21,4,20,14,8,14,7,54,19,6,11,16,5,6,0,57,0,50,13,5,25,34,19,26,10,14,7,50,10,3,9,14,17,1,17,14,11,0,26,4,167,54,22,9,35,32,14,7,12,9,8,8,32,64,8,5,24,73,0,47,0,8,39,0,25,32,takes_place,0.0204513870516
272,0,9,6,30,2,1,29,5,0,27,12,1,27,76,7,9,2,1,4,1,1,5,16,0,19,2,19,10,4,0,5,4,0,5,0,5,6,2,5,315,4,49,1,1,1,2,7,6,2,5,0,59,1,9,0,0,2,0,12,6,4,2,7,9,21,2,10,0,1,106,13,3,1,0,0,1,8,2,0,1,7,0,9,31,going_viral,0.0204046943871
273,0,31,15,2,73,0,50,0,3,57,15,6,1,16,42,3,7,2,0,0,10,0,1,0,13,20,1,8,25,0,19,6,2,5,0,11,15,1,7,47,3,19,5,62,10,17,1,0,4,26,2,0,26,2,0,0,9,0,46,10,10,3,2,37,28,3,1,7,3,26,5,30,66,1,3,27,55,12,0,18,11,0,8,21,safe_spaces,0.0203346553903
274,0,1,23,5,95,9,20,0,2,77,15,14,3,81,15,17,3,2,0,16,2,0,9,2,17,16,15,5,31,0,3,1,0,1,0,1,44,0,0,5,14,4,6,18,10,15,1,10,0,5,57,2,23,11,7,0,43,0,13,27,2,27,4,59,15,10,0,5,4,30,1,12,21,22,11,10,0,49,0,14,24,0,52,20,establishment_republicans,0.0203113090581
275,0,2,3,1,70,0,34,0,0,14,0,0,5,125,0,0,0,0,0,0,0,0,7,0,2,12,4,5,0,0,6,0,0,0,0,2,0,0,0,16,0,0,0,0,12,0,0,0,9,1,0,0,40,1,1,0,0,0,0,4,0,2,0,3,6,12,0,0,2,25,0,1,1,0,0,0,8,0,0,1,40,0,4,405,right_scoop,0.0203113090581
276,1,14,69,4,90,18,34,8,5,39,19,33,7,44,27,42,4,15,9,8,10,12,4,17,18,25,51,11,6,2,3,6,1,16,0,11,12,6,32,51,11,20,17,48,6,22,4,1,6,18,26,1,41,24,5,0,6,3,91,57,10,10,11,36,15,14,15,13,8,18,18,25,20,10,23,24,20,20,0,8,17,0,35,44,everyone_knows,0.0202879627258
277,2,12,65,4,78,16,26,3,2,43,29,37,8,39,28,33,4,24,8,16,12,14,8,18,11,51,40,16,4,9,3,5,1,32,0,20,12,3,35,50,22,60,16,29,3,44,8,9,5,21,61,1,50,17,6,0,30,1,134,20,10,16,32,36,28,6,10,20,11,4,22,36,15,12,12,30,21,27,0,11,14,0,23,33,nothing_else,0.0202412700613
278,2,8,30,3,48,7,25,0,0,55,6,24,4,22,52,17,11,9,8,7,54,8,9,2,3,20,16,15,18,14,9,2,0,9,0,14,5,5,17,28,6,33,19,27,6,23,11,4,5,25,3,4,18,16,3,0,3,3,86,20,7,18,27,53,64,15,2,1,8,17,6,42,13,10,23,22,6,67,0,9,31,0,37,21,personal_information,0.0202412700613
279,5,16,52,3,81,16,22,2,2,48,12,55,1,21,47,20,36,10,29,2,36,1,8,17,5,18,18,4,23,31,5,17,0,17,0,14,16,0,5,12,29,5,14,25,6,15,3,5,16,15,11,0,17,12,8,0,3,2,44,86,35,13,17,63,15,7,1,4,13,8,4,86,18,17,63,70,4,53,0,16,9,0,33,8,government_agencies,0.0202412700613
280,1,41,70,3,46,32,19,9,1,54,130,64,6,25,28,27,15,15,51,1,19,10,5,25,5,12,10,10,8,24,2,8,0,20,0,35,15,12,29,37,7,47,15,30,7,37,31,8,10,22,15,2,11,17,8,0,5,0,116,32,41,18,41,40,21,2,14,14,14,5,25,60,20,9,22,47,13,59,0,18,20,0,23,8,next_generation,0.0202412700613
281,3,1,16,13,43,3,18,1,1,47,24,14,18,69,16,13,3,3,1,2,16,1,16,0,7,8,12,19,6,0,4,2,0,0,0,3,13,2,2,60,18,11,8,49,12,3,6,4,29,12,25,2,7,16,5,0,1,0,22,70,0,15,7,28,12,4,3,5,3,56,4,14,21,9,8,5,10,26,0,9,22,0,46,43,american_soil,0.0201945773968
282,1,91,35,44,7,4,33,31,1,62,49,20,15,38,34,17,7,26,19,7,13,54,7,10,11,3,20,47,36,18,4,36,0,16,0,19,11,20,19,40,13,70,15,14,2,15,25,11,8,12,4,2,9,10,1,0,1,4,53,33,47,52,17,49,50,24,31,5,19,11,26,63,8,10,36,19,4,30,0,3,48,0,13,28,made_headlines,0.0201712310645
283,1,14,67,2,71,34,11,4,1,40,27,87,3,14,40,45,9,20,80,3,30,4,4,29,3,23,10,6,27,111,8,3,0,25,0,34,12,2,37,4,20,27,18,60,3,32,4,9,8,17,22,3,40,16,4,0,5,5,91,30,28,22,44,50,2,5,3,8,10,6,3,90,18,3,42,80,3,35,0,24,13,0,16,21,long_term,0.0201712310645
284,1,2,48,1,73,2,40,0,1,77,7,11,2,24,40,4,11,22,1,0,15,3,6,0,5,16,5,25,27,0,8,2,0,0,0,3,7,0,0,15,14,40,7,52,7,18,3,1,76,18,2,0,12,5,3,0,15,0,48,50,3,12,6,25,12,21,2,9,2,12,3,29,19,3,20,6,22,33,0,27,15,0,35,8,charlie_hebdo,0.0201245384
285,0,1,8,11,11,1,45,0,4,36,0,0,7,69,41,21,8,11,0,2,20,0,10,0,5,8,5,10,4,0,8,0,0,1,0,0,8,0,0,5,22,1,11,4,11,0,1,2,1,5,16,1,37,5,4,0,0,1,12,15,0,30,1,37,15,4,1,0,10,68,0,7,22,5,10,1,15,177,0,3,90,0,17,32,rep_trey_gowdy,0.0201011920678
286,2,24,85,2,93,18,15,1,2,59,25,55,8,23,52,42,8,27,61,11,15,1,3,31,7,17,11,8,12,34,5,3,0,17,0,23,9,6,8,31,25,46,27,40,4,33,3,3,7,10,12,0,27,15,6,0,9,0,96,35,36,10,29,61,15,9,2,13,6,9,4,83,28,8,25,66,7,52,0,15,19,0,35,10,much_higher,0.0200778457355
287,1,0,26,0,90,8,5,0,2,26,21,32,0,12,59,6,5,14,2,0,185,0,16,3,6,2,1,1,28,6,5,0,0,1,0,3,13,0,0,1,4,0,5,64,1,2,2,1,3,8,5,1,10,6,4,0,0,1,22,34,4,1,1,113,9,1,1,4,2,2,0,5,18,1,14,28,5,40,0,13,24,0,16,12,south_china_sea,0.0200778457355
288,5,7,25,7,54,5,18,8,0,65,3,16,7,20,35,17,41,10,3,7,16,3,7,0,3,16,14,4,18,0,4,3,0,22,0,23,2,2,7,71,15,21,9,20,3,10,12,4,8,10,26,0,9,10,6,0,7,6,28,129,7,11,15,57,12,12,6,3,2,33,12,47,7,10,12,25,4,26,0,8,19,0,43,10,criminal_activity,0.020031153071
289,0,49,16,0,50,1,19,1,0,79,47,2,5,13,10,7,16,0,1,4,1,0,1,0,4,5,2,0,1,1,6,18,0,3,0,250,9,0,41,46,12,13,6,12,3,5,0,1,6,11,5,0,17,12,6,0,7,3,32,29,13,4,1,53,13,2,2,0,13,4,1,42,11,1,1,0,1,4,0,2,24,0,62,29,opposite_sex,0.0199844604065
290,8,1,2,7,31,2,40,0,0,29,1,7,3,21,53,1,2,17,0,0,80,0,1,0,3,19,0,0,3,0,8,1,0,0,0,4,11,0,0,3,21,3,6,33,13,2,1,2,3,9,3,1,16,1,0,0,17,0,8,11,0,7,6,93,35,3,0,2,9,9,5,1,51,2,5,3,48,64,0,13,49,0,43,17,extremely_careless,0.0199611140743
291,2,30,111,5,71,19,26,4,2,46,28,48,8,30,58,50,17,16,35,4,12,14,5,19,7,12,34,12,29,6,9,8,0,49,0,39,13,4,18,10,17,43,23,43,5,27,12,4,6,14,12,1,17,23,2,0,8,4,93,36,21,18,26,61,21,5,8,8,14,8,10,57,17,19,24,72,7,25,0,20,24,0,31,12,general_public,0.0199611140743
292,12,23,51,4,33,3,29,16,1,60,32,3,17,37,21,35,6,6,2,3,2,18,1,1,4,3,20,32,8,0,5,20,0,49,0,71,2,10,8,163,8,22,9,7,1,6,26,8,11,14,7,1,11,7,28,0,3,0,39,75,16,11,30,19,13,8,29,2,8,9,20,56,15,5,11,14,6,9,0,5,14,0,30,12,child_abuse,0.019937767742
293,0,30,15,6,51,0,56,7,0,83,71,1,9,18,109,6,0,7,0,1,1,21,5,0,4,6,8,30,3,1,1,32,0,5,0,47,2,11,5,31,9,10,2,30,6,3,4,0,0,7,3,0,7,3,22,0,46,0,8,27,5,3,3,7,25,5,5,0,14,8,2,5,6,3,0,0,5,6,0,5,31,0,41,53,bruce_jenner,0.019937767742
294,3,6,35,7,122,15,16,1,0,39,44,40,13,26,21,10,7,16,5,1,2,0,8,3,10,14,10,9,11,2,0,10,0,12,0,43,11,0,3,25,4,5,6,27,5,12,8,2,10,12,14,1,13,7,3,0,42,1,40,58,8,9,13,46,11,25,1,11,2,5,9,14,15,3,16,33,11,22,0,22,36,0,36,9,great_britain,0.0198677287453
295,2,10,38,5,50,11,13,7,1,81,1,28,9,23,58,13,35,9,10,3,41,1,4,19,5,21,10,0,30,1,10,5,0,7,0,21,3,0,2,5,2,2,4,55,1,4,9,3,7,10,26,2,31,7,4,0,0,2,49,66,20,16,7,74,10,5,3,12,3,11,5,95,10,7,27,21,3,1,0,8,32,0,93,5,federal_governments,0.0198210360808
